Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
17.900001;280.40015;594.318786621094;493.788391113281;33.0301910638809;71.50732421875;1;0;0;1;0;0;0;45.878;42.3392044314713;1;0;0
41.9;121.3829;156.980499267578;134.488800048828;31.1674803495407;49.1994182606981;1;0;0;1;0;0;0;69.973;47.0688316398388;1;0;0
12.7;151.05935;305.060607910156;271.358184814453;27.5534093379974;47.6453926933886;1;0;0;1;0;0;0;72.354;43.5192129422678;1;0;0
5.2000001;185.13378;479.936309814453;416.518188476562;28.5665988922119;46.7746821094135;1;0;0;1;0;0;0;74.672;40.5676243588014;1;0;0
5.0999999;247.40581;572.592529296875;514.587890625;25.633230805397;46.7519435603859;1;0;0;1;0;0;0;77.181;44.0639238558713;1;0;0
5.0000001;288.28307;646.456176757812;578.942199707031;25.2778500318527;46.3979160508424;1;0;0;1;0;0;0;79.044;47.57351898;1;0;0
27.000001;102.73395;343.504486083984;170.871704101562;60.2539896965027;8.66383165278387;0;0;0;0;1;0;0;46.848;90.1216989754197;1;0;0
33.8;102.32671;267.305389404297;140.151596069336;56.5936923027039;9.36711968434897;0;0;0;0;1;0;0;46.214;87.2750699003427;1;0;0
25.999999;89.855831;270.437713623047;160.569107055664;53.2627701759338;10.4773345024112;0;0;0;0;1;0;0;45.582;81.7910742946685;1;0;0
60.600001;214.84389;297.351715087891;158.13459777832;58.5273802280426;8.52239084279516;0;0;0;0;1;0;0;64.17;72.2232761967228;1;0;0
45.100001;249.23343;384.285400390625;272.791107177734;46.0811913013458;9.427632234838;0;0;0;0;1;0;0;66.874;67.5525956414145;1;0;0
38.600001;231.12956;420.291595458984;296.486907958984;46.7324495315552;10.0339056586356;0;0;0;0;1;0;0;68.393;64.3685000434748;1;0;0
37.200001;246.00941;415.75390625;311.563507080078;41.6493713855743;10.6278057786393;0;0;0;0;1;0;0;69.773;61.1964472404396;1;0;0
26.499999;192.48805;595.033874511719;353.874603271484;53.5451412200928;23.8434981945744;0;0;0;0;1;0;0;84.923;45.0795496472828;1;0;0
23.7;192.46127;615.87939453125;378.653015136719;51.9428491592407;24.4637884744692;0;0;0;0;1;0;0;85.77;43.7481057517691;1;0;0
24.699999;195.75553;639.960388183594;387.830200195312;53.4288287162781;25.2507757706858;0;0;0;0;1;0;0;86.824;43.3913818;1;0;0
31.7;75.941582;147.838897705078;104.533599853516;40.8980011940002;15.7748492462312;1;0;0;0;0;1;0;28.688;70.3163868475522;1;0;0
12;87.127711;244.608703613281;182.264801025391;38.8093292713165;18.4060393000498;1;0;0;0;0;1;0;36.371;53.7143420533719;1;0;0
8.2000002;80.031114;265.784912109375;203.872406005859;37.4414086341858;19.5461409395973;1;0;0;0;0;1;0;40.167;47.3714692336582;1;0;0
58.999997;89.86031;127.538398742676;72.1244964599609;54.2121112346649;1.887286715;1;0;0;0;0;0;1;26.724;103.937338168728;1;0;0
32.9;56.406426;181.45280456543;87.6858062744141;60.7906103134155;2.4687417288656;1;0;0;0;0;0;1;47.286;87.6760582273183;1;0;0
19.3;60.233145;302.422485351562;141.677505493164;60.4590475559235;3.44696416282886;1;0;0;0;0;0;1;60.937;62.6055876114975;1;0;0
16.3;57.421474;242.303497314453;133.029495239258;53.3250272274017;3.742021774;1;0;0;0;0;0;1;67.155;63.2737970129443;1;0;0
62;54.056562;74.3286285400391;40.974609375;56.2366127967834;6.85955568397059;1;0;0;0;0;0;1;38.506;89.3030982271797;1;0;0
14.5;754.5;1787.68701171875;1505.49096679687;33.7464809417725;3.98221511356196;0;0;0;0;0;0;0;81.259;47.156455788445;0;1;0
11.7;738.78296;1836.91003417969;1554.40295410156;33.3082109689713;4.07595272592211;0;0;0;0;0;0;0;81.35;48.6160745277263;0;0;1
9.2969999;760.03553;2018.84802246094;1648.85498046875;34.2555314302444;191.090115396295;0;0;0;1;0;0;0;73.53;46.8355875257605;0;0;1
7.9219997;764.84092;2032.10205078125;1702.21997070312;32.5530290603638;198.018751897965;0;0;0;1;0;0;0;73.607;46.9501526139684;0;0;1
5.883;746.48047;2102.05590820312;1743.90905761719;32.4621886014938;204.710648851098;0;0;0;1;0;0;0;73.674;47.8864155270968;0;0;1
7.8749999;778.08969;2110.68701171875;1761.4580078125;33.1410497426987;213.883833978261;0;0;0;1;0;0;0;73.761;49.9325804984945;0;0;1
36.000001;185.33804;432.595794677734;252.896194458008;52.7720093727112;20.6344219213161;0;0;0;0;1;0;0;86.073;53.80445749989;1;0;0
22.2;204.93771;553.14208984375;360.650299072266;46.0483491420746;23.1779883044711;0;0;0;0;1;0;0;87.132;45.5512574902593;1;0;0
8.6000003;210.20608;775.390197753906;524.466003417969;44.4409400224686;24.8414849663498;0;0;0;0;1;0;0;87.49;45.3828389358575;0;1;0
60.500002;62.504794;67.7290573120117;54.1392211914062;33.6204409599304;129.186998857259;1;0;1;0;0;0;0;31.916;48.3924522744438;1;0;0
30.199999;57.705559;100.916397094727;79.2327499389648;35.8491986989975;138.330135459593;1;0;1;0;0;0;0;42.522;38.5730966495374;1;0;0
